dataset,main_file,diffusion_file,generators_included,notes,status,output,generator_count
1. Cancer,C:\Users\Gopi.Battineni\OneDrive - University of Limerick\Desktop\SYNTH\SYNTH_BENCHMARK\Generators\Experiment with utility data leak\1. Cancer\TRTR_TSTR_results.xlsx,C:\Users\Gopi.Battineni\OneDrive - University of Limerick\Desktop\SYNTH\SYNTH_BENCHMARK\Generators\Experiment with utility data leak\diffusion_dataleak\1. Cancer\TRTR_TSTR_results.xlsx,"['CTGAN', 'CopulaGAN', 'TVAE', 'GaussianCopula', 'WGAN_GP', 'CTABGAN', 'TabDDPM', 'ForestDiffusion']",[],OK,C:\Users\Gopi.Battineni\OneDrive - University of Limerick\Desktop\SYNTH\SYNTH_BENCHMARK\Generators\Experiment with utility data leak\utility results\1. Cancer\TRTR_TSTR_results_merged.xlsx,8
2. Alzhimers,C:\Users\Gopi.Battineni\OneDrive - University of Limerick\Desktop\SYNTH\SYNTH_BENCHMARK\Generators\Experiment with utility data leak\2. Alzhimers\TRTR_TSTR_results.xlsx,C:\Users\Gopi.Battineni\OneDrive - University of Limerick\Desktop\SYNTH\SYNTH_BENCHMARK\Generators\Experiment with utility data leak\diffusion_dataleak\2. Alzhimers\TRTR_TSTR_results.xlsx,"['CTGAN', 'CopulaGAN', 'TVAE', 'GaussianCopula', 'WGAN_GP', 'CTABGAN', 'TabDDPM', 'ForestDiffusion']",[],OK,C:\Users\Gopi.Battineni\OneDrive - University of Limerick\Desktop\SYNTH\SYNTH_BENCHMARK\Generators\Experiment with utility data leak\utility results\2. Alzhimers\TRTR_TSTR_results_merged.xlsx,8
3. Adult,C:\Users\Gopi.Battineni\OneDrive - University of Limerick\Desktop\SYNTH\SYNTH_BENCHMARK\Generators\Experiment with utility data leak\3. Adult\TRTR_TSTR_results.xlsx,C:\Users\Gopi.Battineni\OneDrive - University of Limerick\Desktop\SYNTH\SYNTH_BENCHMARK\Generators\Experiment with utility data leak\diffusion_dataleak\3. Adult\TRTR_TSTR_results.xlsx,"['CTGAN', 'CopulaGAN', 'TVAE', 'GaussianCopula', 'WGAN_GP', 'CTABGAN', 'TabDDPM', 'ForestDiffusion']",[],OK,C:\Users\Gopi.Battineni\OneDrive - University of Limerick\Desktop\SYNTH\SYNTH_BENCHMARK\Generators\Experiment with utility data leak\utility results\3. Adult\TRTR_TSTR_results_merged.xlsx,8
4. Forest cover dataset,C:\Users\Gopi.Battineni\OneDrive - University of Limerick\Desktop\SYNTH\SYNTH_BENCHMARK\Generators\Experiment with utility data leak\4. Forest cover dataset\TRTR_TSTR_results.xlsx,,"['CTGAN', 'CopulaGAN', 'TVAE', 'GaussianCopula', 'WGAN_GP', 'CTABGAN']","['Missing source for TabDDPM', 'Missing source for ForestDiffusion']",OK,C:\Users\Gopi.Battineni\OneDrive - University of Limerick\Desktop\SYNTH\SYNTH_BENCHMARK\Generators\Experiment with utility data leak\utility results\4. Forest cover dataset\TRTR_TSTR_results_merged.xlsx,6
5. Bank Markting,C:\Users\Gopi.Battineni\OneDrive - University of Limerick\Desktop\SYNTH\SYNTH_BENCHMARK\Generators\Experiment with utility data leak\5. Bank Markting\TRTR_TSTR_results.xlsx,C:\Users\Gopi.Battineni\OneDrive - University of Limerick\Desktop\SYNTH\SYNTH_BENCHMARK\Generators\Experiment with utility data leak\diffusion_dataleak\5. Bank Markting\TRTR_TSTR_results.xlsx,"['CTGAN', 'CopulaGAN', 'TVAE', 'GaussianCopula', 'WGAN_GP', 'CTABGAN', 'TabDDPM', 'ForestDiffusion']",[],OK,C:\Users\Gopi.Battineni\OneDrive - University of Limerick\Desktop\SYNTH\SYNTH_BENCHMARK\Generators\Experiment with utility data leak\utility results\5. Bank Markting\TRTR_TSTR_results_merged.xlsx,8
6. Wine dataset,C:\Users\Gopi.Battineni\OneDrive - University of Limerick\Desktop\SYNTH\SYNTH_BENCHMARK\Generators\Experiment with utility data leak\6. Wine dataset\TRTR_TSTR_results.xlsx,C:\Users\Gopi.Battineni\OneDrive - University of Limerick\Desktop\SYNTH\SYNTH_BENCHMARK\Generators\Experiment with utility data leak\diffusion_dataleak\6. Wine dataset\TRTR_TSTR_results.xlsx,"['CTGAN', 'CopulaGAN', 'TVAE', 'GaussianCopula', 'WGAN_GP', 'CTABGAN', 'TabDDPM', 'ForestDiffusion']",[],OK,C:\Users\Gopi.Battineni\OneDrive - University of Limerick\Desktop\SYNTH\SYNTH_BENCHMARK\Generators\Experiment with utility data leak\utility results\6. Wine dataset\TRTR_TSTR_results_merged.xlsx,8
7. CDC diabetes dataset,C:\Users\Gopi.Battineni\OneDrive - University of Limerick\Desktop\SYNTH\SYNTH_BENCHMARK\Generators\Experiment with utility data leak\7. CDC diabetes dataset\TRTR_TSTR_results.xlsx,C:\Users\Gopi.Battineni\OneDrive - University of Limerick\Desktop\SYNTH\SYNTH_BENCHMARK\Generators\Experiment with utility data leak\diffusion_dataleak\7. CDC diabetes dataset\TRTR_TSTR_results.xlsx,"['CTGAN', 'CopulaGAN', 'TVAE', 'GaussianCopula', 'WGAN_GP', 'CTABGAN', 'TabDDPM', 'ForestDiffusion']",[],OK,C:\Users\Gopi.Battineni\OneDrive - University of Limerick\Desktop\SYNTH\SYNTH_BENCHMARK\Generators\Experiment with utility data leak\utility results\7. CDC diabetes dataset\TRTR_TSTR_results_merged.xlsx,8
8. Mushroom dataset,C:\Users\Gopi.Battineni\OneDrive - University of Limerick\Desktop\SYNTH\SYNTH_BENCHMARK\Generators\Experiment with utility data leak\8. Mushroom dataset\TRTR_TSTR_results.xlsx,C:\Users\Gopi.Battineni\OneDrive - University of Limerick\Desktop\SYNTH\SYNTH_BENCHMARK\Generators\Experiment with utility data leak\diffusion_dataleak\8. Mushroom dataset\TRTR_TSTR_results.xlsx,"['CTGAN', 'CopulaGAN', 'TVAE', 'GaussianCopula', 'WGAN_GP', 'CTABGAN', 'TabDDPM', 'ForestDiffusion']",[],OK,C:\Users\Gopi.Battineni\OneDrive - University of Limerick\Desktop\SYNTH\SYNTH_BENCHMARK\Generators\Experiment with utility data leak\utility results\8. Mushroom dataset\TRTR_TSTR_results_merged.xlsx,8
9. MAGIC Gamma Telescope,C:\Users\Gopi.Battineni\OneDrive - University of Limerick\Desktop\SYNTH\SYNTH_BENCHMARK\Generators\Experiment with utility data leak\9. MAGIC Gamma Telescope\TRTR_TSTR_results.xlsx,C:\Users\Gopi.Battineni\OneDrive - University of Limerick\Desktop\SYNTH\SYNTH_BENCHMARK\Generators\Experiment with utility data leak\diffusion_dataleak\9. MAGIC Gamma Telescope\TRTR_TSTR_results.xlsx,"['CTGAN', 'CopulaGAN', 'TVAE', 'GaussianCopula', 'WGAN_GP', 'CTABGAN', 'TabDDPM', 'ForestDiffusion']",[],OK,C:\Users\Gopi.Battineni\OneDrive - University of Limerick\Desktop\SYNTH\SYNTH_BENCHMARK\Generators\Experiment with utility data leak\utility results\9. MAGIC Gamma Telescope\TRTR_TSTR_results_merged.xlsx,8
10. Metro interstate,C:\Users\Gopi.Battineni\OneDrive - University of Limerick\Desktop\SYNTH\SYNTH_BENCHMARK\Generators\Experiment with utility data leak\10. Metro interstate\TRTR_TSTR_results_regression.xlsx,,"['CTGAN', 'CopulaGAN', 'TVAE', 'GaussianCopula', 'WGAN_GP', 'CTABGAN']","['Missing source for TabDDPM', 'Missing source for ForestDiffusion']",OK,C:\Users\Gopi.Battineni\OneDrive - University of Limerick\Desktop\SYNTH\SYNTH_BENCHMARK\Generators\Experiment with utility data leak\utility results\10. Metro interstate\TRTR_TSTR_results_merged.xlsx,6
